frame_number,timestamp,posture_label,fall_heuristic,fall_lstm,fall_hybrid,lstm_fall_prob,confidence
109,3.9451944444444442,Standing,False,False,False,0.1182,0.62
110,3.9813888888888886,Standing,False,False,False,0.1262,0.62
111,4.0175833333333335,Standing,False,False,False,0.1321,0.62
112,4.0537777777777775,Standing,False,False,False,0.1414,0.62
113,4.089972222222222,Standing,False,False,False,0.1512,0.62
114,4.126166666666666,Standing,False,False,False,0.1601,0.62
115,4.162361111111111,Standing,False,False,False,0.1643,0.62
116,4.198555555555555,Standing,False,False,False,0.1678,0.62
117,4.23475,Standing,False,False,False,0.1767,0.62
118,4.270944444444444,Standing,False,False,False,0.1872,0.62
119,4.307138888888889,Standing,False,False,False,0.1969,0.62
120,4.343333333333333,Standing,False,False,False,0.2064,0.62
121,4.379527777777778,Standing,False,False,False,0.2126,0.62
122,4.415722222222222,Standing,False,False,False,0.2209,0.62
123,4.4519166666666665,Standing,False,False,False,0.227,0.62
124,4.4881111111111105,Standing,False,False,False,0.2303,0.62
125,4.524305555555555,Standing,False,False,False,0.2276,0.62
126,4.560499999999999,Standing,False,False,False,0.2253,0.62
127,4.596694444444444,Standing,False,False,False,0.2145,0.62
128,4.632888888888888,Standing,False,False,False,0.2104,0.62
129,4.669083333333333,Standing,False,False,False,0.1708,0.62
130,4.705277777777778,Standing,False,False,False,0.1452,0.62
131,4.741472222222222,Standing,False,False,False,0.1554,0.62
132,4.777666666666667,Standing,False,False,False,0.1228,0.62
133,4.813861111111111,Standing,False,False,False,0.0796,0.62
134,4.850055555555556,Standing,False,False,False,0.0629,0.62
135,4.8862499999999995,Standing,False,False,False,0.0531,0.62
136,4.922444444444444,Standing,False,False,False,0.0485,0.62
137,4.958638888888888,Standing,False,False,False,0.052,0.62
138,4.994833333333333,Standing,False,False,False,0.0539,0.62
139,5.031027777777777,Standing,False,False,False,0.0596,0.62
140,5.067222222222222,Standing,False,False,False,0.0566,0.62
141,5.103416666666666,Standing,False,False,False,0.0562,0.62
142,5.139611111111111,Standing,False,False,False,0.0532,0.62
